"Line Number","Original Tamil Text","Transliterated Text","English Translation","Themes","Imagery","Literary Devices"
"184","நடை மெலிந்து ஒழிந்த சேண் படர் கன்றின்","Naṭai meḷintu oḻinda cēṇ paṭar kaṉṟiṉ","You would not accuse me if you had seen her beautiful, bright face","Accusation, Seeing","Bright Face","Simile"
"185","கடைமணி உகு நீர் துடைத்த ஆடவர்","Kaṭaimāṇi uhu nīr tuṭaitta āṭavar","where the spreading waves have brought cool, sparkling pearls to the shores","Spreading Waves, Pearls","Cool Pearls","Imagery"
"186","பெயரும் பீடும் எழுதி அதர்தொறும்,","Peyarum pīṭum eḻuti atar tuṟum,","and flesh stench has been attacked and removed by the pure flowers with cores","Pure Flowers, Flesh Stench","Pure Flowers","Descriptive"
"187","பீலி சூட்டிய பிறங்கு நிலை நடுகல்","Pīli cūṭṭiya piṟaṅku nilai naṭukal","protected by the thorny fronds of thāzhai trees with rough trunks which look like the heads of ghouls","Thāzhai Trees, Ghouls","Thorny Fronds","Simile"
"188","வேல் ஊன்று பலகை வேற்று முனை கடுக்கும்","Vēl ūṉṟu palakai vēṟṟu muṉai kaṭukkum","growing on the shores with sand dunes along with mundakam plants with red stems and plump buds covered with fine pollen","Sand Dunes, Mundakam Plants","Mundakam Plants","Imagery"
"189","வெருவரு தகுந கானம், நம்மொடு","Veṟuvara takuna kāṉam, nammoṭu","If you had seen her lovely face like the sun","Lovely Face, Sun","Lovely Face","Simile"
"190","வருக என்னுதி ஆயின், வாரேன் நெஞ்சம், வாய்க்க நின் வினையே.","Varuka eṉṉuti āyiṉ, vāṟēṉ neṉcam, vāykka niṉ viṉaiyē.","If you had seen her, you would have not accused me. My dear friend!","Accusation, Friend","Dear Friend","Direct Address"
"191","ஏனலும் இறங்கு குரல் இறுத்தன, நோய் மலிந்து,","Ēṉalum iṟaṅku kurala iṟuttana, nōy maḷintu,","The bent, heavy clusters of millet have been harvested. Her disease has increased.","Disease, Harvest","Millet Clusters, Disease","Direct Address"
"192","ஆய் கவின் தொலைந்த இவள் நுதலும் நோக்கி","Āy kavin tolainda ivaḷ nuṭalum nōkki","Her fine beauty has been lost and those in this town utter harsh words, looking at her forehead.","Beauty, Harsh Words","Fine Beauty, Forehead","Descriptive"
"193","ஏதில மொழியும் இவ்வூரும், ஆகலின்,","Ētil moḻiyum ivvūṟum, ākaḷiṉ,","Those in this town utter harsh words, looking at her forehead.","Harsh Words","Town, Forehead","Descriptive"
"194","களிற்று முகம் திறந்த கவுளுடைப் பகழி,","Kaḷiṟṟu mukam tiṟanta kavuluṭaip pakaḻi,","If you favor the delicate, young mountain woman with lovely, delicate arms like bamboo and pretty, moist eyes like lovely flowers,","Delicate Mountain Woman, Moist Eyes","Bamboo Arms, Flowers","Simile"
"195","வால் நிணப் புகவின், கானவர் தங்கை","Vāl niṇap puḳaviṉ, kānavar taṅkai","younger sister to forest dwellers who eat meat with fat, and own arrows that split open cheeks of elephants,","Forest Dwellers, Arrows","Elephants' Cheeks","Descriptive"
"196","அம் பணை மென்தோள் ஆய் இதழ் மழைக்கண்","Am paṇai men tōḷ āy itazh maḻaikkaṇ","oh man wearing fine jewels, please marry her and take her along with you to your sweet town surrounded by huge mountains where rain falls first,","Fine Jewels, Sweet Town","Jewels, Mountains","Direct Address"
"197","ஒல்கு இயல் கொடிச்சியை நல்கினை ஆயின்,","Oḷku iyaḷ koṭicciyai naḷkiṉai āyiṉ,","and small bees open the closed buds in the springs, swarm clusters of open vēngai flowers,","Bees, Vēngai Flowers","Closed Buds, Bees","Imagery"
"198","கொண்டனை சென்மோ, நுண் பூண் மார்ப,","Koṇṭaṉai ceṉmō, nuṉ pūṇ māṟpa,","rest on honey-filled, bent kānthal blossoms and dream about the musth flowing from the big cheeks of elephants.","Honey-filled Blossoms, Musth","Kānthal Blossoms, Elephants","Imagery"
"199","துளி தலைத் தலைஇய சாரல் நளி சுனைக்","Tuḷi talait talaīya sāral naḷi cuṉaik","If you favor the delicate, young mountain woman","Delicate Mountain Woman","Delicate Woman","Direct Address"
"200","கூம்பு முகை அவிழ்த்த குறுஞ்சிறைப் பறவை","Kūmpu mukai avaizhta kuṟiñciṟai paṟavai","Please marry her and take her along with you to your sweet town surrounded by huge mountains where rain falls first","Sweet Town, Rain","Mountain Town","Descriptive"
"201","வேங்கை விரி இணர் ஊதிக் காந்தள்","Vēṅkai viri iṇar ūtiṟ kāṉtaḷ","swarm clusters of open vēngai flowers, rest on honey-filled, bent kānthal blossoms and dream","Swarm Clusters, Honey-filled Blossoms","Vēngai Flowers, Kāṉtaḷ Blossoms","Imagery"
"202","தேனுடைக் குவி குலைத் துஞ்சி யானை","Tēṉuṭaik kuvi kulait tuñci yāṉai","about the musth flowing from the big cheeks of elephants.","Musth, Big Cheeks of Elephants","Musth, Elephant Cheeks","Imagery"
"203","இருங்கவுள் கடாஅம் கனவும்","Iruṅkaṟuḷ kaṭāṉāṁ kaṉavum","Please marry her and take her along with you","Marry, Sweet Town","Descriptive","Direct Address"
"204","பெருங்கல் வேலி, நும் உறைவு இன் ஊர்க்கே.","Peruṅkaḷ vēḷi, num uṟaivu iṉ ūṟkkē.","to your sweet town surrounded by huge mountains where rain falls first, and small bees open the closed buds in the springs.","Sweet Town, Mountains","Mountain Imagery","Descriptive"
"205","குன்றி அன்ன கண்ண குரூஉ மயிர்ப்","Kuṉṟi ann kaṇṇa kurūṉ māyirpp","He asked me with pride if I would go with him to the forest","Pride, Forest","Eyes like kundri seeds, Fine Hair","Direct Address"
"206","புன் தாள் வெள்ளெலி மோவாய் ஏற்றை","Puṉ tāḷ veḷḷeli mōvāy ēṟṟai","and drink with him the rain sprinkles brought by the winds","Rain Sprinkles, Winds","Sprinkles, Winds","Descriptive"
"207","செம் பரல் முரம்பில் சிதர்ந்த பூழி,","Ceṉ parāl murampil citarnta pūḻi,","My lover who went to the wasteland in Milai country,","Wasteland, Country","Red Pebbles, Wedding Flowers","Metaphor"
"208","நன்னாள் வேங்கை வீ நன்களம் வரிப்பக்","Naṉnāḷ vēṅkai vī naṉkaḷam varippak","where a male white rat with eyes like kundri seeds, fine colored hair, beard and thin legs,","White Rat, Kundri Seeds","Rat, Hair, Legs","Simile"
"209","கார் தலைமணந்த பைம்புதல் புறவின்,","Kār talaimaṉanta paiṃputal puṟaviṉ,","raises dust in the raised land with red pebbles where vēṅkai flowers that announce weddings drop and decorate the ground;","Red Pebbles, Vēṅkai Flowers","Dust, Wedding Decorations","Descriptive"
"210","வில் எறி பஞ்சியின் வெண்மழை தவழும்","Vil eṟi pañciyiṉ veṇmaḻai tavazum","rains have arrived on green bushes and white clouds crawl above, looking like carded cotton;","Rain, Clouds","Green Bushes, Cotton Clouds","Simile"
"211","கொல்லை இதைய குறும்பொறை மருங்கில்","Koḷḷai itaiya kuṟumpoṟai maṟuṅkil","near the boulders in the cleared forest, along with wilted kāyā flowers,","Boulders, Cleared Forest","Kāyā Flowers, Boulders","Descriptive"
"212","கரி பரந்தன்ன காயாஞ்செம்மலொடு","Kaṟi paraṉṟaṉ kaẏāñcemmaḷoṭu","like coal strewn, ilavam flowers have spread like sparks;","Ilavam Flowers, Coal","Coal, Sparks","Simile"
"213","எரி பரந்தன்ன இல மலர் விரைஇப்","Eri paraṉṟaṉ ila malar viṟaiyip","the forest stream with sweet water is mixed with flowers;","Forest Stream, Flowers","Sweet Water, Mixed Flowers","Descriptive"
"214","பூங்கலுழ் சுமந்த தீம் புனல் கான் யாற்று","Pūṅkaḷuḻ sumanta tīṉ puṉal kāṉ yāṟṟu","vetchi flowers that appear like claws of quails are spread on boulders with flowers of kuruntham trees that are cleared;","Vetchi Flowers, Kuruntham Trees","Claws of Quails, Boulders","Imagery"
"215","வான் கொள் தூவல் வளிதர உண்கும்,","Vāṉ koḷ tūval vaḷitara uṇkum,","and stags with twisted antlers unite with their naive females that eat the leaves of striped hemp flourishing on high grounds.","Stags, Naive Females","Twisted Antlers, Striped Hemp","Descriptive"
"216","எம்மொடு வருதல் வல்லையோ மற்று?” எனக்","Emmoṭu varutal vallaiyō maṟṟu? eṉak","If you favor the delicate, young mountain woman","Favor, Delicate Woman","Mountain Woman, Favor","Direct Address"
"217","கொன் ஒன்று வினவினர் மன்னே தோழி,","Koṉ oṉṟu viṉavinaṉa maṉṉē tōḻi,","My friend! He asked me with pride","Pride, Inquiry","Friend, Inquiry","Direct Address"
"218","இதல் முள் ஒப்பின் முகை முதிர் வெட்சி","Ital muḷ oppiṉ mukai mutir veṭci","He asked me if I would go with him to the forest","Request, Forest","Forest, Request","Descriptive"
"219","கொல் புனக் குருந்தொடு கல் அறை தாஅம்","Koḷ puṉak kuṟuntōṭu kal aṟai tāṉ","to your sweet town surrounded by huge mountains where rain falls first,","Sweet Town, Mountains","Mountains, Rain","Descriptive"
"220","மிளை நாட்டு அத்தத்து ஈர்ஞ்சுவல் கலித்த","Miḷai nāṭṭu attattu īṟñcuval kalitta","stags with twisted antlers unite with their naive females that eat the leaves of striped hemp","Stags, Naive Females","Antlers, Striped Hemp","Descriptive"
"221","வரி மரல் கறிக்கும் மடப்பிணைத்","Vaṟi maṟal kaṟikkum maṭappiṇait","on boulders with flowers of kuruntham trees that are cleared;","Kuruntham Flowers","Cleared Trees, Boulders","Descriptive"
"222","திரி மருப்பு இரலைய காடு இறந்தோரே.","Tiri maruppu iralaiya kāṭu iṟantōrē.","and stags with twisted antlers unite with their naive females that eat the leaves of striped hemp flourishing on high grounds.","High Grounds, Hemp","Flourishing Hemp, Stags","Descriptive"
"223","வானம் வாய்ப்பக் கவினிக் கானம்","Vāṉam vāyppak kaviṉik kāṉam","The rains have not failed, the forest has attained beauty","Rain, Forest Beauty","Rains, Forest","Descriptive"
"224","கமஞ்சூல் மா மழை கார் பயந்து இறுத்தென,","Kamañcūḷ mā maḻai kār payantu iṟutthena,","and the full, dark clouds have ushered in the rainy season.","Dark Clouds, Rainy Season","Dark Clouds, Rain","Imagery"
"225","மணி மருள் பூவை அணி மலர் இடை இடைச்","Maṇi maṟuḷ pūvai aṇi malar iṭai iṭai","Pattupoochis with red backs crawl between sapphire colored kāyā flowers","Pattupoochis, Kāyā Flowers","Red Backs, Sapphire Flowers","Imagery"
"226","செம்புற மூதாய் பரத்தலின், நன்பல","Ceṃpuṟa mūttāy parattalin, naṉpala","fine mullai flowers have fallen and spread, appearing like the painting of an artist,","Mullai Flowers, Artist's Painting","Fallen Flowers, Painting","Simile"
"227","முல்லை வீ கழல் தாஅய், வல்லோன்","Muḷḷai vī kaḻal tāṉ, vallōṉ","in the red forest land.","Red Forest Land","Red Forest","Descriptive"
"228","செய்கை அன்ன செந்நிலப் புறவின்,","Ceykai anna ceṉṉilap puṟaviṉ,","Forget the whip and let your proud horses that leap and gallop to beat ride slowly,","Pride, Horses","Proud Horses","Direct Address"
"229","வாஅப் பாணி வயங்கு தொழில் கலி மாத்","Vāṉāp pāṇi vayanku toḻil kali māṯ","so that the stag with twisted antlers that are like the bare stems of large, pointed banana flowers after the fruits mature and drop,","Stag, Antlers","Twisted Antlers, Banana Flowers","Simile"
"230","தாஅத் தாளிணை மெல்ல ஒதுங்க","Tāṉ tāḷiṉai mellā oṭuṅka","can unite with his beautiful doe.","Doe, Union","Beautiful Doe","Descriptive"
"231","இடி மறந்து, ஏமதி வலவ, குவி முகை","Iṭi maṟantu, ēmati valava, kuvi mukai","They will not unite if they hear the sounds of our chariot with swift horses!","Chariot Sounds","Swift Horses, Chariot","Imagery"
"232","வாழை வான் பூ ஊழ் உறுபு உதிர்ந்த","Vāḻai vāṉ pū ūḻ uṟupu utirnta","Forget the whip and let your proud horses that leap and gallop to beat ride slowly,","Pride, Horses","Leaping Horses","Descriptive"
"233","ஒழி குலை அன்ன திரி மருப்பு ஏற்றொடு","Oḻi kuḷai anna tiri maruppu ēṟṟoṭu","so that the stag with twisted antlers that are like the bare stems of large, pointed banana flowers after the fruits mature and drop,","Stag, Antlers","Banana Flowers","Simile"
"234","கணைக் கால் அம் பிணைக் காமர் புணர் நிலை","Kaṇai kāl am piṉaik kāmar puṇar nilai","can unite with his beautiful doe.","Doe, Union","Beautiful Doe","Descriptive"
"235","கடுமான் தேர் ஒலி கேட்பின்,","Kaṭumāṉ tēṟ oli kēṭpiṉ,","They will not unite if they hear the sounds of our chariot with swift horses!","Chariot Sounds","Swift Horses","Imagery"
"236","நடுநாள் கூட்டம் ஆகலும் உண்டே.","Naṭunāḷ kūṭṭam ākaḷum uṇṭē.","They will not unite if they hear the sounds of our chariot with swift horses!","Chariot Sounds","Swift Horses","Descriptive"
"237","திதலை மாமை தளிர் வனப்பு அழுங்கப்,","Titalai māmai taḷir vaṉappu aḻuṅkāp,","My beloved, beautiful friend! I am confused like Āthimanthi whose thinking was warped","Confusion, Love Disease","Dark Skin, Pale Spots","Simile"
"238","புதலிவர் பீரின் எதிர்மலர் கடுப்பப்","Putalivar pīriṉ etirmalar kaṭuppap","afflicted by this love disease. My dark skin has pale spots, my sprout-like beauty is ruined","Pale Spots, Sprout-like Beauty","Dark Skin, Pale Spots","Metaphor"
"239","பசலை பாய்ந்த நுதலேன் ஆகி","Pacalai pāynta nutalēṉ āki","my brow has paled like new peerkkai flowers, and my painting-like eyes are crying.","Brow, Painting-like Eyes","Peerkkai Flowers","Simile"
"240","எழுது எழில் மழைக்கண் கலுழ, நோய் கூர்ந்து","Eḻutu eḻil maḻaikkaṇ kaḷuz, nōy kūrntu","My lover went past the forest where strong winds swirl in the sun’s heat","Love, Forest","Strong Winds, Sun’s Heat","Descriptive"
"241","ஆதிமந்தியின் அறிவு பிறிதாகிப்,","Āthimaṉtiyiṉ aṟivu piṟitākiṯ,","and white flowers with pointed petals from swaying iruppai trees with sprouts drop on boulders below","White Flowers, Iruppai Trees","Pointed Petals, Swaying Trees","Descriptive"
"242","பேதுற்றிசினே காதலம் தோழி","Pētutṟiccinē kādaḻam tōḻi","looking like dice that have been made from drilling conch shells.","Love Disease, Dice","Conch Shells, Dice","Simile"
"243","காய்கதிர் திருகலின் கனைந்து கால் கடுகி","Kāykatir tirukaliṉ kaṉaintu kāl kaṭuki","My heart that believed he would not leave is distressed now like Kāmūr town","Distress, Belief","Kāmūr Town","Simile"
"244","ஆடு தளிர் இருப்பைக் கூடுகுவி வான்பூக்,","Āṭu taḷir iruppaik kūṭu kuvi vāṉpūkk,","of Kazhuvul with unspoiled battle fame and a sky-high, wide umbrella,","Battle Fame, Umbrella","Sky-high Umbrella","Metaphor"
"245","கோடு கடை கழங்கின் அறை மிசைத் தாஅம்","Kōṭu kaṭai kaḻaṅkiṉ aṟai misaith tāṉ","which was attacked by a consortium of fourteen Vēlir kings.","Attack, Consortium","Fourteen Vēlir Kings","Descriptive"
"246","காடு இறந்தனரே காதலர், அடு போர்","Kāṭu iṟantaṉarē kādaḻar, aṭu pōr","My heart that believed he would not leave is distressed now","Distress, Departure","Battlefield","Metaphor"
"247","வீயா விழுப்புகழ் விண் தோய் வியன் குடை","Vīyā viḻuppukaḻ viṉ tōy viyaṉ kuṭai","like Kāmūr town, of Kazhuvul with unspoiled battle fame","Kāmūr Town, Battle Fame","Unspoiled Fame","Simile"
"248","ஈர் எழு வேளிர் இயைந்து ஒருங்கு எறிந்த","Īr eḻu vēḷir iṉaṉtu oruṅku eṟinta","which was attacked by a consortium of fourteen Vēlir kings.","Attack, Consortium","Fourteen Vēlir Kings","Descriptive"
"249","கழுவுள் காமூர் போலக்","Kaḻuḷ kūmūr pōlāk","My heart that believed he would not leave is distressed now","Distress, Departure","Battlefield","Simile"
"250","கலங்கின்று மாது, அவர்த் தெளிந்த என் நெஞ்சே.","Kalaṅkiṉṟu mātu, avar tut teḷinta eṉ neñcē.","like Kāmūr town, of Kazhuvul with unspoiled battle fame","Kāmūr Town, Battle Fame","Unspoiled Fame","Simile"
"251","மைப்பு அறப் புழுக்கின் நெய்க்கனி வெண்சோறு","Maippu aṟap puḻukkaṉ neykkaṉi veṇṟcōṟu","They served white rice cooked perfectly with ghee, with no limit to hospitality, and honored guests.","Hospitality, Food","White Rice, Ghee","Descriptive"
"252","வரையா வண்மையொடு புரையோர்ப் பேணிப்","Varaiyā vaṇmaiyōṭu puraiyōṟp pēṇip","They decorated the protected house and worshipped god at a faultless, auspicious time","Decoration, Worship","Protected House, Auspicious Time","Descriptive"
"253","புள்ளுப் புணர்ந்து இனிய ஆகத் தெள் ஒளி","Puḷḷup puṇarntu iṉiya ākaṯ teḷ oḷi","when the beautiful, wide sky shined with clear light, and as the moon came together with Rohini, the wagon constellation.","Sky, Moon","Clear Light, Wagon Constellation","Descriptive"
"254","அம் கண் இரு விசும்பு விளங்கத் திங்கள்","Aṉ kaṇ iru viṉumpu viḷaṅkaṯ tiṅkaḻ","Loud muzhavu drums roared with big panai drums.","Drums, Music","Muzhavu Drums, Panai Drums","Descriptive"
"255","சகடம் மண்டிய துகள் தீர் கூட்டத்துக்","Cakadam maṇṭiya tuḷkaṉ tīr kūṭṭatuk","Women who washed her for marriage watched with joy, their flower-like eyes not blinking, as they hid themselves.","Marriage, Joy","Flower-like Eyes","Descriptive"
"256","கடிநகர் புனைந்து கடவுள் பேணிப்","Kaṭinaṉaṟ puṉainda kaṭavuḷ pēṇip","Her relatives who gathered together happily, adorned her with new clothes and a white thread strung with the cool, fragrant buds of arukai","Relatives, Adornment","New Clothes, White Thread","Descriptive"
"257","படு மண முழவொடு பரூஉப்பணை இமிழ","Paṭu maṇa muḻavoṭu parūṉṉuṟṟa iḻa","that blossomed due to the uproarious first rain, whose petals are as dark as washed sapphire","Rain, Petals","Dark Petals, Sapphire","Simile"
"258","வதுவை மண்ணிய மகளிர் விதுப்புற்றுப்","Vaduvai maṇṇiya makkaḷiṟ viṭuppuṟṟup","growing in pits where mature calves eat split leaves, their backsides dull, of vākai trees with delicate flowers.","Vākai Trees, Calves","Split Leaves, Delicate Flowers","Descriptive"
"259","பூக்கணும் இமையார் நோக்குபு மறைய","Pūkkāṇum imaiyār nōkkupu maṟaiya","They gave her to me, the sweet, virtuous woman, body to my life, beautiful with ornaments","Virtue, Beauty","Sweet Woman, Ornaments","Metaphor"
"260","மென்பூ வாகைப் புன்புறக் கவட்டிலை","Meṉpū vākaip puṉpuṟak kavattiḷai","drying off her sweat, in the pavilion with sand, where wedding sounds were like rumbles of clouds.","Sweat, Pavilion","Wedding Sounds, Clouds","Simile"
"261","பழங்கன்று கறித்த பயம்பு அமல் அறுகைத்","Paḻaṅkaṉṟu kaṟitta payampu amal aṟukaiṯ","That night, I embraced her and said, “Covered by your new garment, you are sweating.","Night, Embrace","New Garment, Sweat","Descriptive"
"262","தழங்கு குரல் வானின் தலைப்பெயற்கு ஈன்ற","Taḻaṅku kuraliṉ vāṉiṉ talaipeyarṟu īṉṟa","Open it just a little bit so that heavy breeze can dry the sweat on your forehead, as bright as the crescent moon,”","Heavy Breeze, Forehead","Crescent Moon","Simile"
"263","மண்ணு மணி அன்ன மா இதழ்ப் பாவைத்","Maṇṇu maṇi anṉa mā itazhp pāvaiṯ","and pulled her perfect garment with a loving heart.","Garment, Loving Heart","Perfect Garment","Descriptive"
"264","தண் நறுமுகையொடு வெந்நூல் சூட்டித்","Ṭaṇ naṟumukaiyoṭu veṉṉūl cūṭṭit","Her exposed body glistened like a sword removed from its sheath.","Exposed Body, Sword","Sheath","Simile"
"265","தூ உடைப் பொலிந்து மேவரத் துவன்றி,","Tū uṭaip poḷintu mēvarat tuvaṉṟi,","She became shy, bent her head, and not knowing how to hide","Shyness, Hiding","Bent Head","Descriptive"
"266","மழை பட்டன்ன மணன் மலி பந்தர்,","Maḻai paṭṭaṉṉa maṇṉaṉ mali pantar,","took off the colorful, huge, heavy garland woven with white waterlily blossoms, and covered herself","Garland, Waterlily Blossoms","Heavy Garland","Descriptive"
"267","இழை அணி சிறப்பின் பெயர் வியர்ப்பு ஆற்றித்","Iḻai aṇi siṟappin peyar viyarppu āṟṟit","with her thick, dark hair adorned with beautiful flowers buzzing with bees.","Thick Hair, Flowers","Buzzing Bees","Imagery"
"268","தமர் நமக்கு ஈத்த தலைநாள் இரவின்,","Tamar namakku ītta talai nāḷ iraviṉ,","My heart that believed he would not leave is distressed now","Distress, Departure","Heart, Departure","Metaphor"
"269","“உவர் நீங்கு கற்பின் எம் உயிர் உடம்பு அடுவி!","Uvar nīṅku kaḷpiṉ eṉ uyir uṭampu aṭuvi!","like Kāmūr town, of Kazhuvul with unspoiled battle fame","Kāmūr Town, Battle Fame","Unspoiled Fame","Simile"
"270","முருங்காக் கலிங்கம் முழுவதும் வளைஇப்","Murungāk kaḷiṅkam muḻuvatum vaḷaiiṟp","Covered by your new garment, you are sweating. Open it just a little bit so that heavy breeze can dry the sweat on your forehead","New Garment, Sweat","Heavy Breeze","Simile"
"271","பெரும் புழுக்குற்ற நின் பிறை நுதல் பொறி வியர்","Perum puḻukkuṟṟa niṉ piṟai nutal poṟi viyar","as bright as the crescent moon,” and pulled her perfect garment with a loving heart.","Crescent Moon, Perfect Garment","Loving Heart","Simile"
"272","உறு வளி ஆற்றச் சிறு வரை திற” என","Uṟu vaḷi āṟṟaṯ siṟu varai tiṟ” eṉ","Her exposed body glistened like a sword removed from its sheath.","Exposed Body, Sword","Sheath","Simile"
"273","ஆர்வ நெஞ்சமொடு போர்வை வவ்வலின்,","Ārvā neñcamōṭu pōrvai vavvalin,","She became shy, bent her head, and not knowing how to hide","Shyness, Hiding","Bent Head","Descriptive"
"274","உறை கழி வாளின் உருவு பெயர்ந்து இமைப்பு","Uṟai kaḻi vāḷiṉ uruvē peṟaṉṟu imaippu","took off the colorful, huge, heavy garland woven with white waterlily blossoms","Garland, Waterlily Blossoms","Heavy Garland","Descriptive"
"275","மறை திறன் அறியாள் ஆகி ஒய்யென","Maṟai tiṟaṉ aṟiyāḷ āki oyiṉa","and covered herself with her thick, dark hair adorned with beautiful flowers buzzing with bees.","Thick Hair, Flowers","Buzzing Bees","Imagery"
"276","நாணினள் இறைஞ்சியோளே, பேணிப்","Nāṇiṉaḷ iṟañciyōḷē, pēṇip","Her relatives who gathered together happily adorned her with new clothes and a white thread","Relatives, Adornment","New Clothes","Descriptive"
"277","பரூஉப் பகை ஆம்பல் குரூஉத் தொடை நீவிச்","Parūṉṟu pakai āmpal kurūṉṟu toṭai nīviṯ","Her exposed body glistened like a sword removed from its sheath.","Exposed Body, Sword","Sheath","Simile"
"278","சுரும்பு இமிர் ஆய் மலர் வேய்ந்த","Suṟumpu imir āy malar vēynt","with her thick, dark hair adorned with beautiful flowers buzzing with bees.","Thick Hair, Flowers","Buzzing Bees","Imagery"
"279","இரும் பல் கூந்தல் இருள் மறை ஒளித்தே.","Iṟum pal kūntal iruḷ maṟai oḷitta","My heart that believed he would not leave is distressed now","Distress, Departure","Heart, Departure","Metaphor"
"280","ஆறு செல் வம்பலர் சேறு கிளைத்து உண்ட","Āṟu cel vampalar cēṟu kiḷaittu uṇṭu","Even if he does not go on the wasteland with forest streams,","Wasteland, Forest Streams","Journey","Conditional"
"281","சிறும் பல் கேணிப் பிடி அடி நசைஇச்","Siṟum pal kēṇip piṭi aṭi nacaiic","where bull elephants touch lovingly, thinking they are the footsteps of their mates,","Bull Elephants, Mates","Elephants' Touch","Imagery"
"282","களிறு தொடூஉக் கடக்கும் கான் யாற்று அத்தம்","Kaḷiṟu toṭūḷk kaṭakkum kāṉ yāṟṟu attam","the many puddles left by the new travelers who dig the muddy ground to drink water on the path,","Puddles, Travelers","Mud, Water","Imagery"
"283","சென்று சேர்பு ஒல்லார் ஆயினும், நினக்கே,","Ceṉṟu cēṟpu ollār āyiṉum, niṉakkē,","your forehead has been ruined like the bare Kāviri islet without stoves and cooking fire on the day next to Panguni uthiram,","Forehead, Kāviri Islet","Destruction","Simile"
"284","வென்று எறி முரசின் விறல் போர்ச் சோழர்","Veṉṟu eṟi muraciṉ viṟal pōṟṉṟ cōḻar","with small forests dense with trees full of flowers and leaves, and the river flowing from Uranthai town with sweet, strong liquor,","Small Forests, Liquor","Dense Trees, River","Imagery"
"285","இன் கடுங்கள்ளின் உறந்தை ஆங்கண்","Iṉ kaṭuṅkaḷḷiṉ uṟantai āṅkaṇ","belongs to brave and victorious Chozha kings who beat victory drums after defeating their enemies,","Chozha Kings, Victory","Victory Drums","Descriptive"
"286","வருபுனல் நெரிதரும் இகு கரைப் பேரியாற்று","Varupuṉal neṟitatuṟum iṯu karaiṉ pēṟiyāṟṟu","the big river eroding the shores with beautiful white sand,","Big River, White Sand","Erosion","Descriptive"
"287","உருவ வெண்மணல் முருகு நாறு தண் பொழில்","Uruva veṇmaṇal muruku nāṟu taṇ poḻil","and there are cool groves with honey fragrance.","Cool Groves, Honey Fragrance","Honey","Imagery"
"288","பங்குனி முயக்கம் கழிந்த வழிநாள்","Paṅkuṉi muyaṟkkam kaḻinda vaḻiṉāḷ","Your arms which were like the fine, beautiful, tall bamboo growing on the slopes of the Pothikai Mountain of Pandiyan king with chariots,","Arms, Bamboo","Pothikai Mountain","Simile"
"289","வீ  இலை அமன்ற மரம் பயில் இறும்பில்","Vī iṟai amaṉṟa maram payil iṟumpil","lord of the clear ocean with pearls with no holes, have lost their prior beauty.","Ocean, Pearls","Clear Ocean","Descriptive"
"290","தீ இல் அடுப்பின் அரங்கம் போலப்","Tī il aṭuppiṉ aṟaṅkam pōlāp","I am sad!","Sadness","Destruction","Emotional Expression"
"291","பெரும் பாழ் கொண்டன்று நுதலே, தோளும்","Perum pāḻ kōṇṭaṉṟu nudalē, tōḷum","The cool groves, with their honey fragrance,","Groves, Fragrance","Honey","Imagery"
"292","தோளா முத்தின் தெண் கடல் பொருநன்","Tōḷā muttin teṉ kaṭal poruṉaṉ","have lost their prior beauty.","Beauty, Loss","Pearls","Simile"
"293","திண்தேர்ச் செழியன் பொருப்பின் கவாஅன்","Tiṉṟēṟṟeṉ ceḻiyaṉ poruppiṉ kavāṉ","I am sad!","Sadness, Emotion","Loss of Beauty","Emotional Expression"
"294","நல் எழில் நெடுவேய் புரையும்","Naṟ eḻil neṭuvēy puraiyum","I am sad!","Sadness, Emotion","Loss of Beauty","Emotional Expression"
"295","தொல் கவின் தொலைந்தன, நோகோ யானே.","Tol kaviṉ toḷaintaṉa, nōkō yāṉē.","The cool groves, with their honey fragrance, have lost their prior beauty.","Groves, Fragrance","Honey","Imagery"
"296","இகுளை! கேட்டிசின் காதலம் தோழி!","Ikaḷai! Keṭṭiciṉ kādalam tōḻi!","Listen, my beloved friend!","Beloved Friend","Emotional Appeal","Direct Address"
"297","குவளை உண்கண் தெண் பனி மல்க,","Kuvaḷai uṇkaṇ teṉ paṉi malka,","On seeing my sorrow and distress and the clear tears in my kohl-lined eyes that resemble blue waterlilies,","Sorrow, Tears","Blue Waterlilies","Simile"
"298","வறிதியான் வருந்திய செல்லற்கு அன்னை","Vaṟitiyāṉ varuntiya cellaṟku annai","mother became upset thinking differently.","Mother's Concern","Emotional Response","Narrative"
"299","பிறிதொன்று கடுத்தனள் ஆகி, வேம்பின்","Piṟitōṉṟu kaṭuttanaḷ āki, vēmpiṉ","She might bring fierce, splendid Murukan into our home","Murukan, Home","Fierce Murukan","Conditional"
"300","வெறி கொள் பாசிலை நீலமொடு சூடி,","Veṟi koḷ pācilai nīlamoṭu cūṭi,","through diviners who sing about his kadampam tree and bull elephant, wearing garlands made from the strong smelling green leaves of neem trees along with blue waterlilies,","Kadampam Tree, Bull Elephant","Neem Leaves, Blue Waterlilies","Imagery"
"301","உடலுநர்க் கடந்த கடல் அம் தானைத்","Uḍaluṉaṟk kaṭanta kaṭal am tāṉait","worshipping and dancing to sweet musical instruments that sound like the roaring waterfalls","Musical Instruments, Waterfalls","Roaring Waterfalls","Simile"
